SERVICE,YEAR,MONTH,STATUS,ROW_COUNT,ERROR_MESSAGE,RUN_ID,INGESTED_AT_UTC
yellow,2021,4,ok,2171187,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,5,ok,2507109,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,6,ok,2834264,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,7,ok,2821746,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,8,ok,2788757,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,9,ok,2963793,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,10,ok,3463504,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,11,ok,3472949,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2021,12,ok,3214369,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,1,ok,2463931,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,2,ok,2979431,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,3,ok,3627882,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,4,ok,3599920,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,5,ok,3588295,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,6,ok,3558124,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,7,ok,3174394,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,8,ok,3152677,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,9,ok,3183767,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,10,ok,3675411,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,11,ok,3252717,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2022,12,ok,3399549,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,1,ok,3066766,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,2,ok,2913955,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,3,ok,3403766,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,4,ok,3288250,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,5,ok,3513649,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,6,ok,3307234,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,7,ok,2907108,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,8,ok,2824209,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,9,ok,2846722,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,10,ok,3522285,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2023,11,ok,3339715,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
