SERVICE,YEAR,MONTH,STATUS,ROW_COUNT,ERROR_MESSAGE,RUN_ID,INGESTED_AT_UTC
green,2018,5,ok,796552,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,6,ok,738546,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,7,ok,684374,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,8,ok,675815,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,9,ok,682032,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,10,ok,731888,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,11,ok,673287,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2018,12,ok,719654,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,1,ok,672105,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,2,ok,615594,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,3,ok,643063,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,4,ok,567852,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,5,ok,545452,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,6,ok,506238,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,7,ok,470743,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,8,ok,449695,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,9,ok,449063,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,10,ok,476386,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,11,ok,449500,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2019,12,ok,455294,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,1,ok,447770,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,2,ok,398632,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,3,ok,223496,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,4,ok,35644,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,5,ok,57361,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,6,ok,63110,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,7,ok,72258,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,8,ok,81063,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,9,ok,87987,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,10,ok,95120,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,11,ok,88605,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2020,12,ok,83130,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,1,ok,76518,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,2,ok,64572,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,3,ok,83827,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,4,ok,86941,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,5,ok,88180,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,6,ok,86737,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,7,ok,83691,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,8,ok,83499,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,9,ok,95709,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,10,ok,110891,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,11,ok,108229,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2021,12,ok,99961,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,1,ok,62495,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,2,ok,69399,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,3,ok,78537,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,4,ok,76136,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,5,ok,76891,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,6,ok,73718,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,7,ok,64192,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,8,ok,65929,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,9,ok,69031,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,10,ok,69322,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,11,ok,62313,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2022,12,ok,72439,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,1,ok,68211,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,2,ok,64809,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,3,ok,72044,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,4,ok,65392,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,5,ok,69174,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,6,ok,65550,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,7,ok,61343,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,8,ok,60649,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,9,ok,65471,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,10,ok,66177,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,11,ok,64025,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2023,12,ok,64215,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,1,ok,56551,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,2,ok,53577,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,3,ok,57457,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,4,ok,56471,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,5,ok,61003,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,6,ok,54748,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,7,ok,51837,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,8,ok,51771,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,9,ok,54440,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,10,ok,56147,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,11,ok,52222,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2024,12,ok,53994,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,1,ok,48326,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,2,ok,46621,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,3,ok,51539,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,4,ok,52132,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,5,ok,55399,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,6,ok,49390,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,7,ok,48205,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
green,2025,8,ok,46306,,4bef5323-42a9-4613-90eb-573ed20f7b51,2025-10-04 16:37:46.799
